Company,Link,Link-Count,DocURL,Error
Freeport-McMoRan Inc.,https://investors.fcx.com/investors/financial-information/annual-reports-and-proxy/default.aspx,0.0,,
Frontdoor Inc,https://investors.frontdoorhome.com/investors/financials/financial-results/default.aspx,0.0,,
Fti Consulting Inc,https://ir.fticonsulting.com/financial-information/quarterly-results,257.0,,
Gaming And Leisure Pptys,https://investors.glpropinc.com/key-documents#ir-section,21.0,,
Gap Inc.,https://investors.gapinc.com/financial-information/default.aspx#financial-year,0.0,,
Garmin Ltd.,https://www.garmin.com/en-US/investors/earnings/,1.0,,
Gartner Inc.,https://investor.gartner.com/financial-information/financial-results/default.aspx,0.0,,
Gates Industrial Corp,https://investors.gates.com/financials/annual-reports/default.aspx,0.0,,
Gci Liberty Inc,https://www.libertybroadband.com/investors/financial-information/annual-reports-proxy,9.0,,
Generac Holdings Inc.,http://investors.generac.com/financial-information/annual-reports-esg,11.0,,
General Dynamics,https://investorrelations.gd.com/financial-reports/annual-report-and-proxy-statement/default.aspx,2.0,,
General Electric Company,https://www.ge.com/investor-relations/annual-report,,https://s22.q4cdn.com/891946778/files/doc_financials/2022/ar/gd-2023-proxy-statement.pdf,"Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD880D]
	(No symbol) [0x00CD508E]
	(No symbol) [0x00CCB4B2]
	(No symbol) [0x00CCC34F]
	(No symbol) [0x00CCB746]
	(No symbol) [0x00CCAAF8]
	(No symbol) [0x00CCAA9A]
	(No symbol) [0x00CC97F2]
	(No symbol) [0x00CC9ED8]
	(No symbol) [0x00CDA5B3]
	(No symbol) [0x00D3BD41]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
General Mills Inc.,https://investors.generalmills.com/financial-information/annual-reports/default.aspx,0.0,,
General Motors Company,https://investor.gm.com/shareholder,5.0,,
Genpact Ltd,https://www.genpact.com/investors,,https://investor.gm.com/static-files/0d705812-59a2-401b-849e-97066a9da8da,"Message: stale element reference: stale element not found
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD880D]
	(No symbol) [0x00CE2B8F]
	(No symbol) [0x00CDCB76]
	(No symbol) [0x00CDB838]
	(No symbol) [0x00CDDB1A]
	(No symbol) [0x00CDDB57]
	(No symbol) [0x00CDDBC0]
	(No symbol) [0x00D0D3FB]
	(No symbol) [0x00D3C7A5]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
Gentex Corp,https://ir.gentex.com/financials-and-filings/annual-reports-and-proxy-statements,58.0,,
Genuine Parts Company,https://genuineparts.investorroom.com/annual-reports,21.0,,
Gilead Sciences,https://investors.gilead.com/financial-information/annual-reports,0.0,,
Glencore plc,https://www.glencore.com/investors/reports-results/2020-annual-report,1.0,,
Global Blood Thera,https://ir.gbt.com/financial-information/annual-reports,0.0,,
Global Payments Inc.,https://investors.globalpaymentsinc.com/financials/annual-reports-and-proxies/default.aspx,0.0,,
Globant Sa,https://investors.globant.com/sec-filings?cat=1&year=2021,0.0,,
Globe Life Inc.,403 Forbidden,,https://www.glencore.com/.rest/api/v1/documents/static/ae275c88-50db-4f93-b0c7-b03fd07270bc/GLEN_2022-Modern-Slavery-Statement.pdf,"Message: invalid argument
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD86D0]
	(No symbol) [0x00CCAFEB]
	(No symbol) [0x00CC98EE]
	(No symbol) [0x00CC9ED8]
	(No symbol) [0x00CDA5B3]
	(No symbol) [0x00D3BD41]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
Globus Medical Inc,https://www.investors.globusmedical.com/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=&items_per_page=10#views-exposed-form-widget-sec-filings-table,34.0,,
Godaddy Inc,https://aboutus.godaddy.net/investor-relations/financials/default.aspx,117.0,,
Goldman Sachs,https://www.goldmansachs.com/investor-relations/financials/current/annual-reports/2020-annual-report/index.html,2.0,,
Grace W R & Co,https://investor.grace.com/historical-sec-filings/sec-filings/default.aspx,0.0,,
Graco Inc,https://investors.graco.com/financial-information/annual-reports,22.0,,
Graftech International,https://www.graftech.com/document-library/,0.0,,
Graham Holdings Company,https://ghco.gcs-web.com/financial-information/annual-reports,83.0,,
Grand Canyon Education,https://investors.gce.com/financial-information/annual-reports,58.0,,
Graphic Packaging Hldg,https://investors.graphicpkg.com/financials/default.aspx#annual,191.0,,
Grocery Outlet Holding,https://investors.groceryoutlet.com/financial-information/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=#views-exposed-form-widget-sec-filings-table,17.0,,
Grubhub Inc,https://investors.grubhub.com/investors/annual-and-proxy-reports/default.aspx,0.0,,
Guardant Health,https://investors.guardanthealth.com/financials/annual-reports/default.aspx,0.0,,
Guidewire Software Inc,https://ir.guidewire.com/financial-information/sec-filings,30.0,,
Haemonetics Corp,https://haemonetics.gcs-web.com/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=#views-exposed-form-widget-sec-filings-table,29.0,,
Hain Celestial Group,https://ir.hain.com/financial-information/annual-reports,21.0,,
Halliburton Company,https://ir.halliburton.com/financial-information/annual-reports,46.0,,
Hanesbrands Inc.,https://ir.hanesbrands.com/financial-information/annual-reports,8.0,,
Hanover Insurance Group,https://investors.hanover.com/financials/annual-reports/default.aspx,0.0,,
